co_cli;cliente;ciudad;direccion_principal;direccion_temporal;latitud;longitud;corregida
401707050;CORPORACION CARRERA 3 C.A.;CARACAS;AV FRANCISCO DE MIRANDA ENTRE AV LIBERTADOR Y CALLE EL MU�ECO EDIF ANDREA PISO PB LOCAL 1 URB CHACAO CARACAS EDO MIRANDA;NULL;10.49180546;-66.85985979;NO
501190046;TRANSPORTE JEAMPIER 2018 C.A.;CARACAS;AV FRANCISCO DE MIRANDA CON CALLE LA JOYA E EL METRO EDIF COSMOS A PISO 2 APTO 2-C CHACAO CARACAS;NULL;10.49167227;-66.85741615;NO
408876060;CAR AUTO EL PARAISO, C.A.;CARACAS;CALLE LOS LIBERALES EDIF. MORISAC PISO PB LOCAL 1 URB.EL PARAISO CARACAS DISTRITO CAPITAL;NULL;10.49164181;-66.92544328;NO
1490507;INVERSIONES BURCA S.R.L.;CARACAS;AV LIBERTADOR CON CALLE EL MU�ECO LOCAL ESTACION DE SERVICIO EL MU�ECO NRO PB URB CHACAO CARACAS EDO MIRANDA;NULL;10.49151931;-66.85827609;NO
317527810;TALLER VAG PERFORMANCE C.A.;CARACAS;AVENIDA PRINCIPAL LOCAL GALPON INDUSTRIAL NRO G-44 URB BOLEITA SUR ENTRE TERCERA Y CUARTA TRANSVERSAL CARACAS;NULL;10.49113082;-66.82221326;NO
502275371;AUTOSFY CORPORATION C.A.;CARACAS;AV LIBERTADOR Y SOROCAIMA EDIF EDIFICA PISO PB LOCAL PB 2 URB EL ROSAL CARACAS (CHACAO) EDO MIRANDA;NULL;10.49099366;-66.86026559;NO
500412878;MULTISERVICIOS CARVIC, C.A.;CARACAS;AVEBUDA KUBERTADIR EBTRE CALLES ELICE Y LA JOYA EDIF CENTRO PARIMA PISO PB LOCAL PB URB CHACAO ESO MIRANDA;NULL;10.49096564;-66.85624044;NO
406134830;INVERSIONES MART-BERT C.A.;CARACAS;AVENIDA LIBERTADOR CON CALLE ALAMEDA EDIF EXA PISO 4 LOCAL ZOTANO 4 URB CHACAO CARACAS EDO MIRANDA;NULL;10.49064369;-66.85938248;NO
307342773;TIO CAUCHO J.G. C.A.;CARACAS;AVENIDA LIBERRTADOR LOCAL NRO SN SECTOR ESQUINA JOSE FELIX SOSA CARACAS CHACAO EDO MIRANDA;NULL;10.49047257;-66.85306151;NO
401740065;SERVICIOS VINTRAVEL, C.A.;CARACAS;AV. PRINCIPAL DE SAN MARTIN EDIF.EL CABILDO, ESTACIONAMIENTO PUBLICO SOOTANO 2, AL LADO DE LA ANTIGUA LOTERIA DE CARACAS Y DIAGONAL AL CENTRO COMERCIAL LOS MOLINOS;NULL;10.49030624;-66.94057699;NO
500552661;MASTER GRUPO 2020 C,A.;CARACAS;AV FRANCISCO DE MIRANDA EDIF TORRE 407 PISO 1 OF 1-1 SECTOR LOS CORTIJOS DE LOURDES CARACAS (PETARE) EDO MIRANDA;NULL;10.48983097;-66.82753765;NO
507514030;ALL TERRAIN AUTO PARTS C.A.;CARACAS;AV LEONARDO DA VINCI EDIF PIGALLE PISO PB LOCAL A-1-1 URB COLINAS DE BELLO MONTE CARACAS EDO MIRANDA;NULL;10.48941946;-66.88049610;NO
505404083;DISTRIBUIDORA ECOLUB 2024 C.A.;CARACAS;AVENIDA LEONARDO DA VINCI ENTRE CALLE PASTEUR Y CALLE CHOPIN EDIF FAURE PISO PB LOCAL S/N URB BELLO MONTE CARACAS DISTRITO FEDERAL;NULL;10.48933143;-66.88080240;NO
297923250;MULTISERVICIOS EL ROSAL C.A.;CARACAS;AV PICHINCHA CRUCE CON CALLE GUAICAIPURO CASA EN EL ANGULO NORTE NRO S/N EL ROSAL CARACAS (CHACAO) EDO MIRANDA;NULL;10.48853989;-66.86767245;NO
502498591;CUSTOM ANGLOVEN, C.A.;CARACAS;CALLE BOMPLAND AV.LEONARDO DAVINCE EDIF. ANGLOMOTORS PISO PB URB. COLINAS DE BELLO MONTE CARACAS EDO. MIRANDA;NULL;10.48841164;-66.88247558;NO
